acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
8699,1,532995,532995.0,532995.0,50000,50000.0,Goods_Transaction,direct discount,2022-07-09 18:53:41.207,2022-07-09 18:53:41.207,0.09380951040816518
8705,22,1045000,47500.0,47500.0,1023000,46500.0,Interactive_Service,direct discount,2022-07-08 10:12:50.714,2022-07-19 20:50:52.268,0.9789473684210527
8717,4,190000,47500.0,47500.0,186000,46500.0,Interactive_Service,direct discount,2022-07-08 21:45:39.611,2022-07-17 16:39:14.416,0.9789473684210527
8721,408,74911860,183607.5,92600.0,6120000,15000.0,OnDemand_Service,voucher,2022-07-08 03:26:19.385,2022-08-01 18:15:20.100,0.08169600914995302
8723,6,480000,80000.0,80500.0,150000,25000.0,OnDemand_Service,voucher,2022-07-19 13:40:00.781,2022-08-12 15:50:34.158,0.3125
8724,1,240801,240801.0,240801.0,20000,20000.0,Goods_Transaction,voucher,2022-07-27 13:48:26.864,2022-07-27 13:48:26.864,0.08305613348781773
8726,2,702000,351000.0,351000.0,100000,50000.0,Goods_Transaction,voucher,2022-07-30 21:17:52.613,2022-07-31 08:14:59.645,0.14245014245014245
8729,5,393000,78600.0,88000.0,150000,30000.0,Financial_Service,voucher,2022-07-23 21:56:08.958,2022-07-29 12:54:37.568,0.3816793893129771
8755,1,100000,100000.0,100000.0,20000,20000.0,Financial_Service,voucher,2022-08-05 12:30:59.118,2022-08-05 12:30:59.118,0.2
8801,2,99000,49500.0,49500.0,30000,15000.0,Daily_Consumption,direct discount,2022-07-14 12:22:35.150,2022-07-14 15:46:26.676,0.30303030303030304
8808,3,1126300,375433.3333333333,322100.0,45000,15000.0,Goods_Transaction,voucher,2022-08-03 19:26:53.622,2022-08-27 15:00:01.676,0.03995383112847376
8810,2,1707400,853700.0,853700.0,40000,20000.0,Goods_Transaction,direct discount,2022-07-17 09:26:48.875,2022-07-18 13:24:55.319,0.023427433524657374
8811,3,2236793,745597.6666666666,589598.0,60000,20000.0,Goods_Transaction,voucher,2022-08-07 19:10:59.783,2022-08-20 19:29:08.852,0.026824118280055417
8830,1,10690000,10690000.0,10690000.0,50000,50000.0,Goods_Transaction,direct discount,2022-08-28 10:33:16.054,2022-08-28 10:33:16.054,0.004677268475210477
8833,3,790000,263333.3333333333,259000.0,45000,15000.0,Goods_Transaction,direct discount,2022-08-04 11:33:03.780,2022-08-27 19:42:44.706,0.056962025316455694
8836,62,13729650,221445.96774193548,100000.0,2480000,40000.0,Interactive_Service,direct discount,2022-07-19 09:17:19.146,2022-08-02 22:48:35.685,0.18063097019953167
8851,29,6037268,208181.6551724138,97000.0,261000,9000.0,Access_Service,direct discount,2022-07-28 21:22:22.329,2022-08-21 17:55:43.817,0.04323147489891123
8859,1,40000,40000.0,40000.0,10000,10000.0,Goods_Transaction,voucher,2022-08-26 23:35:20.949,2022-08-26 23:35:20.949,0.25
8862,152,92581546,609089.1184210526,445582.0,7600000,50000.0,Obligation_Payment,voucher,2022-07-30 11:09:20.897,2022-08-23 22:28:08.376,0.08208979357506084
8872,2,196000,98000.0,98000.0,80000,40000.0,Daily_Consumption,voucher,2022-08-01 19:20:21.243,2022-08-05 12:31:38.552,0.40816326530612246
8888,17,4239250,249367.64705882352,272500.0,255000,15000.0,Goods_Transaction,voucher,2022-08-01 11:44:29.365,2022-08-30 12:34:52.605,0.060152149554756146
8898,170,93921520,552479.5294117647,333930.0,850000,5000.0,Goods_Transaction,voucher,2022-10-06 11:00:35.017,2022-12-30 21:29:28.340,0.009050109069785072
